filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
beer_0.jpg,3815362,"{}",1,0,"{""name"":""rect"",""x"":675,""y"":812,""width"":1441,""height"":2895}","{""Brand"":""Spike"",""Name"":""Pastelleur"",""Brew_Type"":""Sour Beer"",""Alc_Content"":""4.2%"",""Keyword_1"":""Sweet"",""Keyword_2"":""Fruity"",""Keyword_3"":""Sour""}"
beer_1.jpg,3136798,"{}",1,0,"{""name"":""rect"",""x"":593,""y"":109,""width"":1755,""height"":3359}","{""Brand"":""Stigbergets"",""Name"":""Summer Wine"",""Brew_Type"":""Sour Beer"",""Alc_Content"":""7%"",""Keyword_1"":""Sweet"",""Keyword_2"":""Fruity"",""Keyword_3"":""Sour""}"
beer_2.jpg,2168067,"{}",1,0,"{""name"":""rect"",""x"":472,""y"":295,""width"":1644,""height"":2915}","{""Brand"":""Duckpond"",""Name"":""Jumping Jupiter"",""Brew_Type"":""Sour Beer"",""Alc_Content"":""4.7%"",""Keyword_1"":""Sour"",""Keyword_2"":""Fruity"",""Keyword_3"":""Salty""}"
beer_3.jpg,2295654,"{}",1,0,"{""name"":""rect"",""x"":662,""y"":269,""width"":1638,""height"":2823}","{""Brand"":""Duckpond"",""Name"":""Nik Gose Bananas"",""Brew_Type"":""Sour Beer"",""Alc_Content"":""6%"",""Keyword_1"":""Sour"",""Keyword_2"":""Fruity"",""Keyword_3"":""Salty""}"
beer_4.jpg,2327034,"{}",1,0,"{""name"":""rect"",""x"":544,""y"":806,""width"":1638,""height"":2876}","{""Brand"":""Arboga"",""Name"":""Mörk Lager"",""Brew_Type"":""Dark Lager"",""Alc_Content"":""5.5%"",""Keyword_1"":""Sweet"",""Keyword_2"":""Fruity"",""Keyword_3"":""Chocolate""}"
beer_5.jpg,3250310,"{}",1,0,"{""name"":""rect"",""x"":596,""y"":701,""width"":1697,""height"":2987}","{""Brand"":""Stigbergets"",""Name"":""Gamlestadens Karaktär"",""Brew_Type"":""Lager"",""Alc_Content"":""6.1%"",""Keyword_1"":""Sweet"",""Keyword_2"":""Fruity"",""Keyword_3"":""Chocolate""}"
beer_6.jpg,2552422,"{}",1,0,"{""name"":""rect"",""x"":504,""y"":583,""width"":1769,""height"":3203}","{""Brand"":""O/O"",""Name"":""GBG Lager"",""Brew_Type"":""Lager"",""Alc_Content"":""5.5%"",""Keyword_1"":""Bready"",""Keyword_2"":""Fruity"",""Keyword_3"":""Sweet""}"
beer_7.jpg,2097849,"{}",1,0,"{""name"":""rect"",""x"":786,""y"":1015,""width"":1395,""height"":2502}","{""Brand"":""Kopparbergs"",""Name"":""Special Brew"",""Brew_Type"":""Lager"",""Alc_Content"":""6.3%"",""Keyword_1"":""Bready"",""Keyword_2"":""Sweet"",""Keyword_3"":""Bitter""}"
beer_8.jpg,2769551,"{}",1,0,"{""name"":""rect"",""x"":662,""y"":557,""width"":1801,""height"":3066}","{""Brand"":""Mariestad"",""Name"":""Dunkel"",""Brew_Type"":""Dark Lager"",""Alc_Content"":""5.8%"",""Keyword_1"":""Bready"",""Keyword_2"":""Chocolate"",""Keyword_3"":""Sweet""}"
beer_9.jpg,2933751,"{}",1,0,"{""name"":""rect"",""x"":478,""y"":852,""width"":1736,""height"":3007}","{""Brand"":""Zlatopramen"",""Name"":""Half n'Half"",""Brew_Type"":""Dark Lager"",""Alc_Content"":""4.8%"",""Keyword_1"":""Herbal"",""Keyword_2"":""Fruity"",""Keyword_3"":""Sweet""}"
